"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1",0.65,0.65,0.7,0.7,0.7,0.7,0.7,0.7,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.85,0.9,0.95,1
"2",0.4,0.4,0.45,0.5,0.55,0.55,0.55,0.5,0.5,0.55,0.6,0.6,0.65,0.7,0.75,0.8,0.85,0.85,0.9,0.95
"3",0.5,0.5,0.5,0.5,0.55,0.6,0.6,0.65,0.7,0.7,0.75,0.8,0.8,0.8,0.8,0.8,0.85,0.9,0.95,1
"4",0.45,0.5,0.5,0.55,0.55,0.55,0.6,0.6,0.6,0.65,0.65,0.65,0.65,0.65,0.7,0.75,0.75,0.8,0.8,0.85
"5",0.5,0.55,0.6,0.6,0.65,0.65,0.65,0.65,0.7,0.75,0.75,0.8,0.8,0.85,0.85,0.9,0.9,0.9,0.95,1
"6",0.45,0.45,0.45,0.4,0.4,0.45,0.45,0.45,0.45,0.5,0.5,0.55,0.6,0.6,0.65,0.7,0.7,0.75,0.8,0.8
"7",0.65,0.65,0.65,0.7,0.7,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.9,0.95,0.95,0.95,1
"8",0.55,0.6,0.65,0.7,0.7,0.7,0.7,0.75,0.75,0.75,0.8,0.85,0.85,0.9,0.9,0.95,0.95,0.95,0.95,1
"9",0.45,0.5,0.5,0.55,0.55,0.6,0.6,0.6,0.65,0.7,0.75,0.75,0.75,0.8,0.8,0.85,0.85,0.9,0.95,0.95
"10",0.55,0.55,0.55,0.6,0.6,0.6,0.6,0.65,0.6,0.65,0.7,0.7,0.75,0.75,0.75,0.75,0.8,0.8,0.85,0.9
